sequence,submitted_seconds,accepted_seconds,credential_deadline,accepted
0,0.936692208999375,0.9771926699995674,9126151,True
1,1.0848325160004606,1.0932814509997115,9126186,True
2,1.2047614809998777,1.2171623129997897,9126320,True
3,1.3255377610003052,1.3336743119998573,9126444,True
4,1.4633364550008992,1.4743255829998816,9126562,True
5,1.581461705000038,1.588276679000046,9126701,True
6,1.6959203149999666,1.7023365709992504,9126816,True
7,1.8100178330005292,1.8169713520001096,9126931,True
8,1.9251922120001836,1.9349000140009593,9127045,True
9,2.0903447229993617,2.1068800409993855,9127162,True
10,2.215009022000231,2.224608903999979,9127333,True
11,2.335055239000212,2.3430774539992854,9127452,True
12,2.4851672620006866,2.4983086550000735,9127571,True
13,2.6055570709995663,2.616911084000094,9127725,True
14,2.725553411999499,2.736235988999397,9127845,True
15,2.8633850629994413,2.875590474001001,9127964,True
16,3.0095906900005502,3.037249889001032,9128104,True
17,3.1678903060001176,3.182243606999691,9128265,True
18,3.288664540999889,3.294882165000672,9128410,True
19,3.407061044999864,3.4214627639994433,9128523,True
20,3.566373936999298,3.582337865000227,9128646,True
21,3.696803763999924,3.703678531999685,9128808,True
22,3.825156577000598,3.8328325740003493,9128932,True
23,3.9398091479997674,3.9492080660002102,9129061,True
24,4.062569686000643,4.0748547240000335,9129177,True
25,4.192564917000709,4.204989083000328,9129301,True
26,4.312094574999719,4.318380160000743,9129430,True
27,4.429301922000377,4.444021565999719,9129547,True
28,4.562884455999665,4.582488189000287,9129667,True
29,4.691150057000414,4.701000778999514,9129808,True
30,4.808495364999544,4.817583649999506,9129928,True
31,4.943033425000976,4.960252135999326,9130046,True
32,5.07042662800086,5.081005369000195,9130188,True
33,5.1890156350000325,5.198796647000563,9130307,True
34,5.306812454000465,5.312863241000741,9130427,True
35,5.419533845000842,5.426346194000871,9130541,True
36,5.539036375999785,5.558707778000098,9130655,True
37,5.678518901000643,5.685156536999784,9130784,True
38,5.794792012000471,5.803377742000521,9130914,True
39,5.9100652640008775,5.916932156000257,9131031,True
40,6.023136080999393,6.02907253200101,9131145,True
41,6.149161911000192,6.185560842999621,9131258,True
42,6.2925213710004755,6.301013181000599,9131406,True
43,6.408342385000651,6.417903183000817,9131529,True
44,6.524215318000643,6.530155852000462,9131646,True
45,6.641693919000318,6.654817811000612,9131759,True
46,6.761741296000764,6.767611245000808,9131882,True
47,6.873838794999756,6.881029737000063,9131996,True
48,6.992196502000297,7.002970957000798,9132110,True
49,7.119727663000958,7.1855787160002365,9132229,True
50,7.39653635600007,7.409071357000357,9132409,True
51,7.521305066000423,7.529932797000583,9132637,True
52,7.637364960999548,7.655060559000049,9132757,True
